Date,TweetCount
17/09/18,31037
18/09/18,30885
19/09/18,31000
20/09/18,32268
21/09/18,34302
22/09/18,27695
23/09/18,29057
24/09/18,32186
25/09/18,33771
26/09/18,32810
27/09/18,31898
28/09/18,29550
29/09/18,28728
30/09/18,27646
01/10/18,31878
02/10/18,31648
03/10/18,31711
04/10/18,34224
05/10/18,34221
06/10/18,29246
07/10/18,28503
08/10/18,37692
09/10/18,35538
10/10/18,33842
11/10/18,32278
12/10/18,28937
13/10/18,27760
14/10/18,28150
15/10/18,35275
16/10/18,35006
17/10/18,33145
18/10/18,30155
19/10/18,28097
20/10/18,23204
21/10/18,22298
22/10/18,30300
23/10/18,30702
24/10/18,29969
25/10/18,25693
26/10/18,25493
27/10/18,20631
28/10/18,20711
29/10/18,26541
30/10/18,25290
31/10/18,33944
01/11/18,31618
02/11/18,22288
03/11/18,18645
04/11/18,24207
05/11/18,23158
06/11/18,25550
07/11/18,24951
08/11/18,24614
09/11/18,25018
10/11/18,20709
11/11/18,18630
12/11/18,23212
13/11/18,25340
14/11/18,34169
15/11/18,30694
16/11/18,28077
17/11/18,23964
18/11/18,21832
19/11/18,39010
20/11/18,36659
21/11/18,30984
22/11/18,27754
23/11/18,26345
24/11/18,22902
25/11/18,26859
26/11/18,29115
27/11/18,29976
28/11/18,29142
29/11/18,28709
30/11/18,25626
01/12/18,26347
02/12/18,21596
03/12/18,27894
04/12/18,25332
05/12/18,27357
06/12/18,null
07/12/18,28638
08/12/18,22270
09/12/18,23363
10/12/18,22818
11/12/18,22603
12/12/18,21876
13/12/18,21792
14/12/18,24445
15/12/18,18577
16/12/18,19526
17/12/18,24940
18/12/18,25600
19/12/18,26446
20/12/18,24630
21/12/18,22143
22/12/18,17737
23/12/18,17701
24/12/18,21198
25/12/18,18394
26/12/18,19107
27/12/18,19522
28/12/18,20589
29/12/18,19252
30/12/18,18295
31/12/18,18611
01/01/19,17069
02/01/19,18830
03/01/19,26754
04/01/19,21139
05/01/19,20096
06/01/19,18883
07/01/19,20476
08/01/19,19387
09/01/19,21237
10/01/19,20948
11/01/19,19317
12/01/19,16138
13/01/19,16041
14/01/19,19018
15/01/19,18363
16/01/19,18790
17/01/19,21544
18/01/19,19125
19/01/19,16923
20/01/19,17285
21/01/19,18571
22/01/19,18601
23/01/19,19434
24/01/19,19994
25/01/19,17787
26/01/19,16307
27/01/19,14794
28/01/19,19069
29/01/19,19242
30/01/19,19785
31/01/19,20616
01/02/19,14658
02/02/19,15728
03/02/19,15208
04/02/19,18658
05/02/19,19792
06/02/19,20673
07/02/19,18834
08/02/19,20304
09/02/19,18400
10/02/19,15294
11/02/19,17137
12/02/19,18536
13/02/19,19037
14/02/19,20146
15/02/19,17973
16/02/19,14503
17/02/19,15013
18/02/19,20088
19/02/19,20657
20/02/19,19783
21/02/19,18673
22/02/19,18990
23/02/19,17467
24/02/19,19043
25/02/19,18557
26/02/19,18337
27/02/19,17989
28/02/19,17668
01/03/19,16498
02/03/19,14475
03/03/19,14176
04/03/19,17545
05/03/19,18838
06/03/19,18028
07/03/19,18488
08/03/19,17183
09/03/19,17366
10/03/19,15841
11/03/19,18186
12/03/19,19917
13/03/19,18492
14/03/19,20023
15/03/19,20206
16/03/19,17435
17/03/19,15347
18/03/19,18737
19/03/19,18727
20/03/19,19248
21/03/19,19423
22/03/19,16970
23/03/19,15265
24/03/19,13501
25/03/19,17740
26/03/19,17060
27/03/19,18796
28/03/19,19331
29/03/19,19794
30/03/19,16862
31/03/19,13999
01/04/19,19381
02/04/19,31271
03/04/19,27604
04/04/19,19138
05/04/19,21242
06/04/19,18512
07/04/19,18379
08/04/19,21850
09/04/19,21506
10/04/19,20630
11/04/19,19646
12/04/19,19211
13/04/19,14753
14/04/19,15018
15/04/19,21915
16/04/19,20162
17/04/19,18090
18/04/19,17682
19/04/19,18120
20/04/19,17709
21/04/19,17222
22/04/19,17408
23/04/19,22296
24/04/19,19743
25/04/19,19506
26/04/19,21070
27/04/19,16710
28/04/19,17580
29/04/19,20448
30/04/19,21581
01/05/19,20851
02/05/19,22445
03/05/19,24485
04/05/19,17068
05/05/19,16535
06/05/19,17404
07/05/19,23358
08/05/19,21963
09/05/19,23754
10/05/19,26998
11/05/19,28634
12/05/19,24282
13/05/19,30708
14/05/19,30481
15/05/19,26417
16/05/19,25357
17/05/19,24758
18/05/19,21030
19/05/19,23521
20/05/19,26986
21/05/19,26690
22/05/19,28228
23/05/19,23030
24/05/19,24832
25/05/19,21858
26/05/19,24478
27/05/19,28581
28/05/19,26446
29/05/19,25021
30/05/19,27798
31/05/19,23693
01/06/19,18033
02/06/19,17800
03/06/19,21639
04/06/19,22663
05/06/19,20976
06/06/19,18986
07/06/19,18556
08/06/19,16193
09/06/19,14067
10/06/19,16525
11/06/19,16251
12/06/19,16268
13/06/19,17035
14/06/19,18696
15/06/19,16573
16/06/19,22492
17/06/19,20646
18/06/19,21527
19/06/19,18490
20/06/19,22820
21/06/19,27828
22/06/19,39374
23/06/19,24127
24/06/19,25892
25/06/19,27019
26/06/19,41687
27/06/19,30175
28/06/19,27588
29/06/19,21149
30/06/19,17663
01/07/19,23124
02/07/19,23546
03/07/19,22563
04/07/19,19546
05/07/19,19656
06/07/19,16184
07/07/19,15820
08/07/19,21434
09/07/19,22180
10/07/19,23834
11/07/19,20230
12/07/19,31450
13/07/19,21442
14/07/19,19451
15/07/19,22735
16/07/19,22784
17/07/19,24278
18/07/19,24597
19/07/19,25759
20/07/19,21566
21/07/19,20697
22/07/19,23274
23/07/19,21610
24/07/19,22926
25/07/19,19361
26/07/19,17954
27/07/19,16400
28/07/19,14762
29/07/19,17179
30/07/19,18294
31/07/19,19647
01/08/19,19930
02/08/19,19806
03/08/19,15856
04/08/19,15514
05/08/19,24014
06/08/19,21526
07/08/19,19684
08/08/19,17352
09/08/19,17787
10/08/19,15781
11/08/19,14407
12/08/19,18156
13/08/19,18208
14/08/19,19072
15/08/19,19697
16/08/19,19352
17/08/19,15703
18/08/19,14246
19/08/19,16770
20/08/19,16596
21/08/19,18179
22/08/19,17858
23/08/19,17668
24/08/19,14618
25/08/19,14278
26/08/19,16826
27/08/19,20448
28/08/19,19033
29/08/19,17137
30/08/19,16339
31/08/19,13453
01/09/19,14620
02/09/19,17337
03/09/19,20903
04/09/19,18177
05/09/19,16187
06/09/19,18376
07/09/19,14526
08/09/19,14593
09/09/19,17004
10/09/19,18300
11/09/19,17080
12/09/19,16904
13/09/19,15885
14/09/19,13360
15/09/19,13380
16/09/19,16491
17/09/19,17082
18/09/19,18477
19/09/19,18387
20/09/19,16907
21/09/19,13899
22/09/19,14650
23/09/19,18065
24/09/19,21250
25/09/19,21772
26/09/19,19619
27/09/19,19119
28/09/19,15414
29/09/19,14229
30/09/19,17758
01/10/19,17754
02/10/19,15544
03/10/19,15626
04/10/19,14904
05/10/19,13536
06/10/19,14729
07/10/19,16843
08/10/19,16662
09/10/19,17990
10/10/19,17144
11/10/19,16759
12/10/19,14136
13/10/19,14172
14/10/19,17307
15/10/19,17552
16/10/19,17713
17/10/19,16806
18/10/19,17011
19/10/19,15757
20/10/19,13294
21/10/19,16282
22/10/19,19420
23/10/19,20329
24/10/19,17486
25/10/19,20601
26/10/19,25470
27/10/19,17460
28/10/19,18462
29/10/19,17199
30/10/19,17972
31/10/19,20869
01/11/19,17370
02/11/19,14470
03/11/19,14022
04/11/19,17953
05/11/19,18119
06/11/19,17193
07/11/19,16147
08/11/19,16463
09/11/19,13608
10/11/19,13655
11/11/19,17451
12/11/19,16739
13/11/19,17058
14/11/19,18144
15/11/19,17028
16/11/19,15041
17/11/19,14539
18/11/19,16505
19/11/19,16874
20/11/19,18338
21/11/19,21597
22/11/19,24404
23/11/19,16543
24/11/19,17253
25/11/19,22633
26/11/19,25824
27/11/19,22517
28/11/19,16332
29/11/19,16670
30/11/19,16174
01/12/19,15964
02/12/19,16129
03/12/19,16469
04/12/19,16817
05/12/19,17127
06/12/19,15697
07/12/19,13437
08/12/19,14176
09/12/19,16592
10/12/19,15197
11/12/19,14324
12/12/19,16412
13/12/19,16588
14/12/19,14114
15/12/19,14381
16/12/19,18724
17/12/19,19303
18/12/19,22374
19/12/19,21588
20/12/19,18959
21/12/19,16562
22/12/19,15978
23/12/19,16906
24/12/19,15959
25/12/19,14984
26/12/19,15205
27/12/19,14711
28/12/19,14765
29/12/19,13684
30/12/19,15568
