Date,Price,Open,High,Low
2020-10-23,408.52,414.12,419.11,402.91
2020-10-22,414.05,391.39,420.12,391.21
2020-10-21,391.20,368.53,400.36,368.06
2020-10-20,368.35,379.03,380.14,367.16
2020-10-19,379.19,377.85,383.97,372.72
2020-10-18,377.81,368.61,378.49,367.54
2020-10-17,368.63,365.08,369.94,363.18
2020-10-16,365.17,377.60,379.60,362.65
2020-10-15,377.45,378.96,380.77,370.39
2020-10-14,379.15,381.13,387.11,373.62
2020-10-13,381.23,386.64,387.06,374.57
2020-10-12,386.68,374.39,394.58,366.05
2020-10-11,374.19,370.28,377.27,369.23
2020-10-10,370.16,365.25,377.97,364.57
2020-10-09,365.28,350.71,368.19,347.82
2020-10-08,350.83,341.66,352.95,334.79
2020-10-07,341.48,340.59,342.68,334.11
2020-10-06,340.61,353.53,354.90,337.21
2020-10-05,353.28,352.69,354.86,348.76
2020-10-04,352.73,345.60,353.97,344.03
2020-10-03,345.60,345.78,351.04,343.74
2020-10-02,345.68,353.06,353.61,335.91
2020-10-01,353.07,359.50,369.10,345.66
2020-09-30,359.39,359.77,360.94,352.81
2020-09-29,359.86,353.97,360.66,351.48
2020-09-28,354.08,357.42,367.63,352.57
2020-09-27,357.23,354.26,362.00,347.51
2020-09-26,354.25,351.62,355.87,346.95
2020-09-25,351.63,349.13,357.80,338.01
2020-09-24,349.17,319.97,352.60,317.27
2020-09-23,319.95,343.96,344.12,315.54
2020-09-22,344.03,341.32,346.19,336.15
2020-09-21,341.30,371.09,375.34,331.41
2020-09-20,371.12,385.33,385.39,365.48
2020-09-19,385.25,384.25,386.99,377.63
2020-09-18,384.20,389.37,392.21,375.81
2020-09-17,388.97,364.75,393.96,363.54
2020-09-16,364.88,363.91,372.88,355.18
2020-09-15,364.01,376.70,381.67,362.40
2020-09-14,376.70,365.89,383.99,357.54
2020-09-13,365.71,388.06,389.51,353.85
2020-09-12,387.98,373.74,388.12,366.05
2020-09-11,373.72,367.89,374.41,356.38
2020-09-10,367.92,351.10,376.92,350.86
2020-09-09,351.10,337.46,358.33,331.12
2020-09-08,337.46,352.06,355.69,326.66
2020-09-07,352.06,353.49,357.33,325.47
2020-09-06,353.49,334.91,358.09,316.69
2020-09-05,334.91,385.94,394.12,314.13
2020-09-04,385.94,381.97,399.58,368.22
2020-09-03,381.97,439.14,466.40,376.99
2020-09-02,439.08,475.72,480.96,423.26
2020-09-01,475.80,433.89,488.24,429.65
2020-08-31,433.90,428.81,438.71,418.35
2020-08-30,428.86,398.80,429.59,398.47
2020-08-29,398.80,395.32,405.53,391.97
2020-08-28,395.11,383.16,397.64,379.80
2020-08-27,383.11,385.96,396.48,372.53
2020-08-26,385.96,383.16,392.61,377.63
2020-08-25,383.20,407.64,409.02,370.40
2020-08-24,407.70,390.81,410.17,387.62
2020-08-23,390.50,395.56,396.96,383.42
2020-08-22,395.56,388.06,396.87,379.96
2020-08-21,387.99,416.05,418.72,385.21
2020-08-20,416.05,407.39,418.92,402.80
2020-08-19,407.44,422.10,426.65,394.51
2020-08-18,422.16,430.63,433.65,415.45
2020-08-17,430.56,433.62,444.86,420.71
2020-08-16,433.63,432.22,436.58,413.22
2020-08-15,432.18,438.04,442.70,428.75
2020-08-14,438.03,424.28,443.74,418.37
2020-08-13,424.31,387.15,430.33,377.57
2020-08-12,387.12,379.03,389.21,367.05
2020-08-11,379.01,395.52,398.13,367.38
2020-08-10,395.53,390.22,399.05,386.45
2020-08-09,390.23,396.78,399.93,384.31
2020-08-08,396.76,379.57,396.77,376.38
2020-08-07,379.57,394.80,398.14,366.44
2020-08-06,394.83,400.80,403.18,391.67
2020-08-05,400.79,389.62,406.92,384.84
2020-08-04,389.62,385.86,402.01,381.30
2020-08-03,385.80,372.26,397.73,368.46
2020-08-02,372.08,387.15,415.08,335.76
2020-08-01,387.14,346.48,392.37,343.33
2020-07-31,346.51,334.84,349.34,329.02
2020-07-30,334.87,317.79,341.11,314.83
2020-07-29,317.82,316.95,324.93,312.64
2020-07-28,316.96,321.82,326.53,306.40
2020-07-27,321.80,311.12,332.57,311.04
2020-07-26,311.13,305.32,318.54,300.33
2020-07-25,305.32,279.33,308.57,279.33
2020-07-24,279.33,275.33,287.01,268.54
2020-07-23,275.34,263.29,279.53,260.70
2020-07-22,263.28,245.54,266.42,241.89
2020-07-21,245.53,236.10,246.49,235.67
2020-07-20,236.10,239.03,239.71,234.51
2020-07-19,239.01,235.72,239.70,233.35
2020-07-18,235.75,232.77,236.83,232.40
2020-07-17,232.75,233.65,234.53,231.84
2020-07-16,233.65,238.62,239.47,230.44
2020-07-15,238.62,240.49,241.36,237.04
2020-07-14,240.50,239.75,242.08,237.21
2020-07-13,239.73,242.84,245.04,237.71
2020-07-12,242.75,239.20,243.79,236.91
2020-07-11,239.20,241.21,241.64,237.76
2020-07-10,241.26,242.01,242.17,236.19
2020-07-09,242.02,246.93,247.63,238.28
2020-07-08,246.99,239.26,248.76,238.00
2020-07-07,239.25,241.56,243.43,234.92
2020-07-06,241.56,227.95,241.64,227.10
2020-07-05,227.98,229.09,229.80,223.79
2020-07-04,229.15,225.09,230.40,224.80
2020-07-03,225.12,226.42,228.14,224.77
2020-07-02,226.42,230.96,232.04,223.53
2020-07-01,230.95,225.61,232.47,224.33
2020-06-30,225.63,227.88,228.57,223.23
2020-06-29,227.87,225.09,229.83,221.60
2020-06-28,225.09,221.07,227.74,218.46
2020-06-27,221.06,229.72,231.30,217.11
2020-06-26,229.67,232.57,233.50,228.16
2020-06-25,232.56,234.75,235.29,227.99
2020-06-24,234.75,243.20,249.23,231.56
2020-06-23,243.20,243.24,244.77,240.94
2020-06-22,243.25,228.11,246.39,227.69
2020-06-21,228.13,228.87,231.18,227.38
2020-06-20,228.86,229.11,230.96,226.28
2020-06-19,229.11,231.34,231.94,226.97
2020-06-18,231.34,233.85,234.69,228.13
2020-06-17,233.88,235.37,236.55,228.63
2020-06-16,235.36,230.92,235.95,228.99
2020-06-15,230.93,231.99,233.34,219.06
2020-06-14,232.02,238.23,238.48,230.52
2020-06-13,238.22,237.55,238.61,234.86
2020-06-12,237.54,230.72,239.23,228.62
2020-06-11,230.71,247.79,249.77,227.01
2020-06-10,247.78,243.82,249.51,242.54
2020-06-09,243.82,246.19,249.45,240.18
2020-06-08,246.18,244.56,247.11,241.30
2020-06-07,244.56,242.00,244.94,235.44
2020-06-06,242.00,240.27,244.43,238.38
2020-06-05,240.23,243.37,247.50,239.70
2020-06-04,243.37,244.53,246.41,236.68
2020-06-03,244.52,237.90,244.76,233.84
2020-06-02,237.94,248.01,253.21,227.95
2020-06-01,247.97,231.80,249.81,230.85
2020-05-31,231.81,243.63,245.33,230.31
2020-05-30,243.63,220.66,246.55,218.86
2020-05-29,220.66,220.14,224.52,217.84
2020-05-28,220.18,208.20,220.33,204.79
2020-05-27,208.18,200.99,208.18,200.85
2020-05-26,201.00,204.13,204.90,197.30
2020-05-25,204.13,199.99,205.52,198.57
2020-05-24,199.97,206.65,210.40,199.97
2020-05-23,206.62,207.35,211.03,204.97
